[2022-04-11 13:35:17,106 | INFO]: =========== Script launch C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-11 13:35:20,623 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-12 - 2022-03-13
[2022-04-11 13:35:21,629 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-13 - 2022-03-14
[2022-04-11 13:35:22,634 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-14 - 2022-03-15
[2022-04-11 13:35:23,514 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-15 - 2022-03-16
[2022-04-11 13:35:24,641 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-16 - 2022-03-17
[2022-04-11 13:35:25,883 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-17 - 2022-03-18
[2022-04-11 13:35:27,139 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-18 - 2022-03-19
[2022-04-11 13:35:28,273 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-19 - 2022-03-20
[2022-04-11 13:35:29,557 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-20 - 2022-03-21
[2022-04-11 13:35:30,632 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-21 - 2022-03-22
[2022-04-11 13:35:31,634 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-22 - 2022-03-23
[2022-04-11 13:35:32,672 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-23 - 2022-03-24
[2022-04-11 13:35:33,692 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-24 - 2022-03-25
[2022-04-11 13:35:34,659 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-25 - 2022-03-26
[2022-04-11 13:35:35,894 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-26 - 2022-03-27
[2022-04-11 13:35:37,112 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-27 - 2022-03-28
[2022-04-11 13:35:38,173 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-28 - 2022-03-29
[2022-04-11 13:35:39,269 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-29 - 2022-03-30
[2022-04-11 13:35:40,407 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-30 - 2022-03-31
[2022-04-11 13:35:41,781 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-31 - 2022-04-01
[2022-04-11 13:35:43,098 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-01 - 2022-04-02
[2022-04-11 13:35:44,668 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-02 - 2022-04-03
[2022-04-11 13:35:46,268 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-03 - 2022-04-04
[2022-04-11 13:35:47,566 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-04 - 2022-04-05
[2022-04-11 13:35:48,804 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-05 - 2022-04-06
[2022-04-11 13:35:49,811 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-06 - 2022-04-07
[2022-04-11 13:35:51,145 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-07 - 2022-04-08
[2022-04-11 13:35:52,389 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-08 - 2022-04-09
[2022-04-11 13:35:53,452 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-09 - 2022-04-10
[2022-04-11 13:35:53,822 | INFO]: =========== Script end C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-11 13:39:34,446 | INFO]: =========== Script launch C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-11 13:39:37,949 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-12 - 2022-03-13
[2022-04-11 13:39:38,915 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-13 - 2022-03-14
