[2022-04-14 16:27:16,100 | INFO]: =========== Script launch C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-14 16:27:21,915 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-15 - 2022-03-16
[2022-04-14 16:27:22,929 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-16 - 2022-03-17
[2022-04-14 16:27:23,984 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-17 - 2022-03-18
[2022-04-14 16:27:25,041 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-18 - 2022-03-19
[2022-04-14 16:27:26,109 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-19 - 2022-03-20
[2022-04-14 16:27:28,291 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-20 - 2022-03-21
[2022-04-14 16:27:29,517 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-21 - 2022-03-22
[2022-04-14 16:27:30,576 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-22 - 2022-03-23
[2022-04-14 16:27:31,679 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-23 - 2022-03-24
[2022-04-14 16:27:32,733 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-24 - 2022-03-25
[2022-04-14 16:27:33,821 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-25 - 2022-03-26
[2022-04-14 16:27:35,276 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-26 - 2022-03-27
[2022-04-14 16:27:36,707 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-27 - 2022-03-28
[2022-04-14 16:27:37,917 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-28 - 2022-03-29
[2022-04-14 16:27:39,355 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-29 - 2022-03-30
[2022-04-14 16:27:40,394 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-30 - 2022-03-31
[2022-04-14 16:27:41,531 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-31 - 2022-04-01
[2022-04-14 16:27:42,910 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-01 - 2022-04-02
[2022-04-14 16:27:44,229 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-02 - 2022-04-03
[2022-04-14 16:27:45,419 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-03 - 2022-04-04
[2022-04-14 16:27:46,549 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-04 - 2022-04-05
